ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
225,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","14,44","88,27",26," 4096,    1,    1","  512,    1,    1"
226,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","25,45","88,26",26," 4096,    1,    1","  512,    1,    1"
227,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","24,69","88,97",26," 4096,    1,    1","  512,    1,    1"
228,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","22,50","89,61",26," 4096,    1,    1","  512,    1,    1"
229,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","22,20","87,79",26," 4096,    1,    1","  512,    1,    1"
230,0.00,bitonic_sort_step,bitonic_sort_step..,"0,03","0,00","19,75","86,30",26," 4096,    1,    1","  512,    1,    1"
231,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
232,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,85","41,77",48,"172844,    1,    1","  256,    1,    1"
233,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,81","41,74",48,"172844,    1,    1","  256,    1,    1"
234,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,81","41,74",48,"172844,    1,    1","  256,    1,    1"
235,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,85","41,76",48,"172844,    1,    1","  256,    1,    1"
236,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,85","41,76",48,"172844,    1,    1","  256,    1,    1"
237,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
238,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,85","41,76",48,"172844,    1,    1","  256,    1,    1"
239,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
240,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
241,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
242,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,83","41,75",48,"172844,    1,    1","  256,    1,    1"
243,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,86","41,77",48,"172844,    1,    1","  256,    1,    1"
244,0.00,adaptive_spmv,adaptive_spmv..unsigned..,"1,46","0,00","79,84","41,76",48,"172844,    1,    1","  256,    1,    1"
