ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
109,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,28","84,76",26,"262144,    1,    1","  512,    1,    1"
110,0.00,bitonic_sort_step,bitonic_sort_step..,"4,94","0,00","6,12","82,49",26,"262144,    1,    1","  512,    1,    1"
111,0.00,bitonic_sort_step,bitonic_sort_step..,"5,16","0,00","6,01","79,72",26,"262144,    1,    1","  512,    1,    1"
112,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","5,89","75,84",26,"262144,    1,    1","  512,    1,    1"
113,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,78","78,67",26,"262144,    1,    1","  512,    1,    1"
114,0.00,bitonic_sort_step,bitonic_sort_step..,"6,35","0,00","6,73","70,26",26,"262144,    1,    1","  512,    1,    1"
115,0.00,bitonic_sort_step,bitonic_sort_step..,"5,55","0,00","14,20","82,24",26,"262144,    1,    1","  512,    1,    1"
116,0.00,bitonic_sort_step,bitonic_sort_step..,"5,94","0,00","13,14","82,67",26,"262144,    1,    1","  512,    1,    1"
117,0.00,bitonic_sort_step,bitonic_sort_step..,"6,22","0,00","11,98","85,47",26,"262144,    1,    1","  512,    1,    1"
118,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","12,25","75,90",26,"262144,    1,    1","  512,    1,    1"
119,0.00,bitonic_sort_step,bitonic_sort_step..,"4,21","0,00","12,09","73,13",26,"262144,    1,    1","  512,    1,    1"
120,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,43","87,21",26,"262144,    1,    1","  512,    1,    1"
121,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,40","87,13",26,"262144,    1,    1","  512,    1,    1"
122,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,39","86,59",26,"262144,    1,    1","  512,    1,    1"
123,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,36","86,46",26,"262144,    1,    1","  512,    1,    1"
124,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,38","86,10",26,"262144,    1,    1","  512,    1,    1"
125,0.00,bitonic_sort_step,bitonic_sort_step..,"4,79","0,00","6,25","84,55",26,"262144,    1,    1","  512,    1,    1"
126,0.00,bitonic_sort_step,bitonic_sort_step..,"4,93","0,00","6,11","82,67",26,"262144,    1,    1","  512,    1,    1"
127,0.00,bitonic_sort_step,bitonic_sort_step..,"5,17","0,00","5,94","79,40",26,"262144,    1,    1","  512,    1,    1"
128,0.00,bitonic_sort_step,bitonic_sort_step..,"5,50","0,00","5,90","75,98",26,"262144,    1,    1","  512,    1,    1"
129,0.00,bitonic_sort_step,bitonic_sort_step..,"5,32","0,00","6,81","78,99",26,"262144,    1,    1","  512,    1,    1"
130,0.00,bitonic_sort_step,bitonic_sort_step..,"6,37","0,00","6,76","69,81",26,"262144,    1,    1","  512,    1,    1"
131,0.00,bitonic_sort_step,bitonic_sort_step..,"5,50","0,00","14,09","82,57",26,"262144,    1,    1","  512,    1,    1"
132,0.00,bitonic_sort_step,bitonic_sort_step..,"6,00","0,00","13,05","81,24",26,"262144,    1,    1","  512,    1,    1"
133,0.00,bitonic_sort_step,bitonic_sort_step..,"6,17","0,00","12,02","83,12",26,"262144,    1,    1","  512,    1,    1"
134,0.00,bitonic_sort_step,bitonic_sort_step..,"5,46","0,00","12,18","72,27",26,"262144,    1,    1","  512,    1,    1"
135,0.00,bitonic_sort_step,bitonic_sort_step..,"4,11","0,00","12,15","71,28",26,"262144,    1,    1","  512,    1,    1"
136,0.00,bitonic_sort_step,bitonic_sort_step..,"4,51","0,00","6,46","88,18",26,"262144,    1,    1","  512,    1,    1"
137,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,45","86,37",26,"262144,    1,    1","  512,    1,    1"
138,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,38","87,37",26,"262144,    1,    1","  512,    1,    1"
139,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,42","86,97",26,"262144,    1,    1","  512,    1,    1"
140,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,39","87,45",26,"262144,    1,    1","  512,    1,    1"
141,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,36","86,30",26,"262144,    1,    1","  512,    1,    1"
142,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,25","85,10",26,"262144,    1,    1","  512,    1,    1"
143,0.00,bitonic_sort_step,bitonic_sort_step..,"4,89","0,00","6,14","83,11",26,"262144,    1,    1","  512,    1,    1"
144,0.00,bitonic_sort_step,bitonic_sort_step..,"5,18","0,00","5,99","79,14",26,"262144,    1,    1","  512,    1,    1"
145,0.00,bitonic_sort_step,bitonic_sort_step..,"5,55","0,00","5,86","75,23",26,"262144,    1,    1","  512,    1,    1"
146,0.00,bitonic_sort_step,bitonic_sort_step..,"5,23","0,00","6,77","79,92",26,"262144,    1,    1","  512,    1,    1"
147,0.00,bitonic_sort_step,bitonic_sort_step..,"6,33","0,00","6,76","70,02",26,"262144,    1,    1","  512,    1,    1"
148,0.00,bitonic_sort_step,bitonic_sort_step..,"5,46","0,00","14,35","83,16",26,"262144,    1,    1","  512,    1,    1"
149,0.00,bitonic_sort_step,bitonic_sort_step..,"5,96","0,00","12,96","80,31",26,"262144,    1,    1","  512,    1,    1"
150,0.00,bitonic_sort_step,bitonic_sort_step..,"6,08","0,00","12,00","81,31",26,"262144,    1,    1","  512,    1,    1"
151,0.00,bitonic_sort_step,bitonic_sort_step..,"5,42","0,00","12,21","69,80",26,"262144,    1,    1","  512,    1,    1"
152,0.00,bitonic_sort_step,bitonic_sort_step..,"4,01","0,00","12,31","69,95",26,"262144,    1,    1","  512,    1,    1"
153,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,39","85,78",26,"262144,    1,    1","  512,    1,    1"
154,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,45","87,73",26,"262144,    1,    1","  512,    1,    1"
155,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,43","86,75",26,"262144,    1,    1","  512,    1,    1"
156,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,40","87,11",26,"262144,    1,    1","  512,    1,    1"
157,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,42","87,01",26,"262144,    1,    1","  512,    1,    1"
158,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,38","86,74",26,"262144,    1,    1","  512,    1,    1"
159,0.00,bitonic_sort_step,bitonic_sort_step..,"4,66","0,00","6,35","86,02",26,"262144,    1,    1","  512,    1,    1"
160,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,24","84,65",26,"262144,    1,    1","  512,    1,    1"
161,0.00,bitonic_sort_step,bitonic_sort_step..,"4,89","0,00","6,12","82,84",26,"262144,    1,    1","  512,    1,    1"
162,0.00,bitonic_sort_step,bitonic_sort_step..,"5,18","0,00","6,01","79,57",26,"262144,    1,    1","  512,    1,    1"
163,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,89","75,48",26,"262144,    1,    1","  512,    1,    1"
164,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","6,73","79,09",26,"262144,    1,    1","  512,    1,    1"
165,0.00,bitonic_sort_step,bitonic_sort_step..,"6,31","0,00","6,81","70,53",26,"262144,    1,    1","  512,    1,    1"
166,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","14,35","82,81",26,"262144,    1,    1","  512,    1,    1"
167,0.00,bitonic_sort_step,bitonic_sort_step..,"6,03","0,00","12,82","79,12",26,"262144,    1,    1","  512,    1,    1"
168,0.00,bitonic_sort_step,bitonic_sort_step..,"6,03","0,00","12,00","78,61",26,"262144,    1,    1","  512,    1,    1"
169,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","12,18","67,32",26,"262144,    1,    1","  512,    1,    1"
170,0.00,bitonic_sort_step,bitonic_sort_step..,"3,96","0,00","12,40","68,59",26,"262144,    1,    1","  512,    1,    1"
171,0.00,bitonic_sort_step,bitonic_sort_step..,"4,70","0,00","6,27","84,78",26,"262144,    1,    1","  512,    1,    1"
172,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,36","86,46",26,"262144,    1,    1","  512,    1,    1"
173,0.00,bitonic_sort_step,bitonic_sort_step..,"4,47","0,00","6,43","87,36",26,"262144,    1,    1","  512,    1,    1"
174,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,40","86,69",26,"262144,    1,    1","  512,    1,    1"
175,0.00,bitonic_sort_step,bitonic_sort_step..,"4,52","0,00","6,41","87,06",26,"262144,    1,    1","  512,    1,    1"
176,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,41","87,20",26,"262144,    1,    1","  512,    1,    1"
177,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,37","86,84",26,"262144,    1,    1","  512,    1,    1"
178,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,34","86,56",26,"262144,    1,    1","  512,    1,    1"
179,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,26","85,14",26,"262144,    1,    1","  512,    1,    1"
180,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,12","82,23",26,"262144,    1,    1","  512,    1,    1"
181,0.00,bitonic_sort_step,bitonic_sort_step..,"5,12","0,00","6,00","79,71",26,"262144,    1,    1","  512,    1,    1"
182,0.00,bitonic_sort_step,bitonic_sort_step..,"5,50","0,00","5,93","75,46",26,"262144,    1,    1","  512,    1,    1"
183,0.00,bitonic_sort_step,bitonic_sort_step..,"5,24","0,00","6,87","78,75",26,"262144,    1,    1","  512,    1,    1"
184,0.00,bitonic_sort_step,bitonic_sort_step..,"6,24","0,00","6,81","70,43",26,"262144,    1,    1","  512,    1,    1"
185,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","14,31","82,34",26,"262144,    1,    1","  512,    1,    1"
186,0.00,bitonic_sort_step,bitonic_sort_step..,"6,01","0,00","12,56","76,89",26,"262144,    1,    1","  512,    1,    1"
187,0.00,bitonic_sort_step,bitonic_sort_step..,"6,06","0,00","11,81","75,06",26,"262144,    1,    1","  512,    1,    1"
188,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","11,95","63,56",26,"262144,    1,    1","  512,    1,    1"
189,0.00,bitonic_sort_step,bitonic_sort_step..,"3,79","0,00","12,44","67,38",26,"262144,    1,    1","  512,    1,    1"
190,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,30","85,84",26,"262144,    1,    1","  512,    1,    1"
191,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,32","85,27",26,"262144,    1,    1","  512,    1,    1"
192,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,37","86,77",26,"262144,    1,    1","  512,    1,    1"
193,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,40","87,20",26,"262144,    1,    1","  512,    1,    1"
194,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,38","86,27",26,"262144,    1,    1","  512,    1,    1"
195,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,36","86,65",26,"262144,    1,    1","  512,    1,    1"
196,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,34","86,65",26,"262144,    1,    1","  512,    1,    1"
197,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,36","86,80",26,"262144,    1,    1","  512,    1,    1"
198,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,40","86,37",26,"262144,    1,    1","  512,    1,    1"
199,0.00,bitonic_sort_step,bitonic_sort_step..,"4,71","0,00","6,23","84,54",26,"262144,    1,    1","  512,    1,    1"
